day,calories_ok,protein_ok,carbs_ok,fat_ok,sodium_ok,fiber_ok
2025-07-30,False,True,False,True,True,False
2025-07-31,False,True,False,False,True,False
2025-08-01,False,True,False,True,True,False
2025-08-02,False,True,False,True,True,False
2025-08-03,False,True,False,False,True,True
2025-08-04,False,True,False,False,True,False
2025-08-05,False,True,False,True,True,False
2025-08-06,False,True,False,False,True,False
2025-08-07,False,True,False,False,True,False
2025-08-08,False,True,False,False,True,False
2025-08-09,False,True,False,True,True,False
2025-08-10,False,True,False,False,True,True
2025-08-11,False,False,False,False,True,False
2025-08-12,False,False,False,False,True,True
2025-08-13,False,False,False,False,True,False
2025-08-14,False,True,False,False,True,False
2025-08-15,False,True,False,True,True,False
2025-08-16,False,True,False,False,True,True
2025-08-17,False,False,False,False,True,True
2025-08-18,False,True,False,True,True,False
2025-08-19,False,True,False,False,True,False
2025-08-20,False,True,False,True,True,False
2025-08-21,False,True,False,True,True,False
2025-08-22,False,True,False,True,True,False
2025-08-23,False,True,False,False,True,True
2025-08-24,False,True,False,True,True,False
2025-08-25,False,True,False,True,True,False
2025-08-26,False,True,False,True,True,False
2025-08-27,False,True,False,False,True,False
2025-08-28,False,True,False,True,True,False
