date,meal_type,recipe_id
2025-07-30,breakfast,1
2025-07-30,lunch,3
2025-07-30,dinner,5
2025-07-31,breakfast,2
2025-07-31,lunch,3
2025-07-31,dinner,6
2025-08-01,breakfast,2
2025-08-01,lunch,4
2025-08-01,dinner,5
2025-08-02,breakfast,2
2025-08-02,lunch,3
2025-08-02,dinner,5
2025-08-03,breakfast,1
2025-08-03,lunch,4
2025-08-03,dinner,5
2025-08-04,breakfast,2
2025-08-04,lunch,3
2025-08-04,dinner,6
2025-08-05,breakfast,1
2025-08-05,lunch,3
2025-08-05,dinner,5
2025-08-06,breakfast,2
2025-08-06,lunch,3
2025-08-06,dinner,6
2025-08-07,breakfast,1
2025-08-07,lunch,3
2025-08-07,dinner,6
2025-08-08,breakfast,1
2025-08-08,lunch,3
2025-08-08,dinner,6
2025-08-09,breakfast,2
2025-08-09,lunch,4
2025-08-09,dinner,5
2025-08-10,breakfast,1
2025-08-10,lunch,4
2025-08-10,dinner,5
2025-08-11,breakfast,2
2025-08-11,lunch,4
2025-08-11,dinner,6
2025-08-12,breakfast,1
2025-08-12,lunch,4
2025-08-12,dinner,6
2025-08-13,breakfast,2
2025-08-13,lunch,4
2025-08-13,dinner,6
2025-08-14,breakfast,1
2025-08-14,lunch,3
2025-08-14,dinner,6
2025-08-15,breakfast,2
2025-08-15,lunch,4
2025-08-15,dinner,5
2025-08-16,breakfast,1
2025-08-16,lunch,4
2025-08-16,dinner,5
2025-08-17,breakfast,1
2025-08-17,lunch,4
2025-08-17,dinner,6
2025-08-18,breakfast,2
2025-08-18,lunch,3
2025-08-18,dinner,5
2025-08-19,breakfast,2
2025-08-19,lunch,3
2025-08-19,dinner,6
2025-08-20,breakfast,2
2025-08-20,lunch,4
2025-08-20,dinner,5
2025-08-21,breakfast,2
2025-08-21,lunch,4
2025-08-21,dinner,5
2025-08-22,breakfast,2
2025-08-22,lunch,3
2025-08-22,dinner,5
2025-08-23,breakfast,1
2025-08-23,lunch,4
2025-08-23,dinner,5
2025-08-24,breakfast,2
2025-08-24,lunch,3
2025-08-24,dinner,5
2025-08-25,breakfast,1
2025-08-25,lunch,3
2025-08-25,dinner,5
2025-08-26,breakfast,1
2025-08-26,lunch,3
2025-08-26,dinner,5
2025-08-27,breakfast,1
2025-08-27,lunch,3
2025-08-27,dinner,6
2025-08-28,breakfast,2
2025-08-28,lunch,4
2025-08-28,dinner,5
