recipe_id,name,meal_type,yield_servings,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,fiber_g,estimated_cost_per_serving_usd
1,Oatmeal with Berries,breakfast,10,320,10,54,8,180,7,1.48
2,Veggie Omelet,breakfast,10,280,18,5,20,320,3,1.1
3,Yogurt Parfait,breakfast,12,260,14,36,7,150,3,1.04
4,Turkey & Veggie Soup,lunch,12,340,24,30,12,520,6,1.6
5,"Chicken, Rice & Broccoli",lunch,12,450,36,45,12,480,6,1.91
6,Lentil & Quinoa Bowl,lunch,12,420,22,58,10,420,10,1.2
7,Salmon with Sweet Potato,dinner,12,520,34,40,24,510,7,3.44
8,Tofu Stir Fry,dinner,12,460,26,50,14,480,8,1.32
9,Pasta Marinara (GF),dinner,12,480,18,72,10,560,6,1.42
10,Baked Potato Bar,dinner,12,430,14,64,12,450,7,1.33
